涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例%,内盘,外盘,内外比,主力净量,量比,净利润？,市净率,每股盈利,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,机构动向,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量
-0.0057,47.05,-0.27,47.03,47.07,570400,26881178,100,0,-0.0072,-0.16,0.0029,-17.95,10803605300,9380973700,0.8683,312600,257800,1.21,-0.04,0.65,267500000,3.12,0.55,47.32,47.39,0.0015,47.58,46.88,-0.0147,0.0257,0.0266,0.0512,0.0148,100,1400,2710,-25.53,229619670,199383080,1.51E+16,0.3966,15.08,0,3.17
-0.0032,34.6,-0.11,34.58,34.6,756280,26356622,600,0.0009,0.0058,-0.72,0.0115,-86.85,3442364400,2265975300,0.6583,374505,381775,0.981,0.02,0.92,254145,5.13,0.003,34.71,34.4,-0.0089,35.36,34.24,-0.0037,0.1304,0.0026,-0.4328,0.0323,400,3900,2521,4.27,99490300,65490617,2.95E+14,2.664,6.75,0,-18.32
0.0886,15.6,1.27,15.6,15.61,12575527,188442990,2400,0.0189,0.1143,4.29,0.0833,60.37,2358720000,2355901800,0.9988,6091870,6483657,0.94,0.51,7.16,-7235490,16.67,-0.048,14.33,14,-0.023,16.15,13.8,0.1346,0.2189,0.2235,-0.1768,0.164,9700,700,20204,16.49,151200000,151019350,-7.90E+14,-0.5859,0.94,0,-98.92
-0.0015,25.91,-0.04,25.9,25.94,3117950,81061709,400,-0.0027,-0.0223,-0.34,0.0284,-78.6,4309293100,2840673900,0.6592,1742760,1375190,1.27,-0.02,1.06,10957036,3.22,0.07,25.95,26.5,0.0212,26.5,25.61,0.097,0.1135,0.0364,-0.065,0.0343,300,1700,8493,-2.5,166317760,109636197,1.30E+15,-0.7985,8.05,0,-10.05
-0.0066,29.98,-0.2,29.97,29.98,2044574,61157191,3300,0.0003,0.0007,0.23,0.0057,16.04,11614581400,10831641000,0.9326,1153150,891424,1.29,-0.1,0.55,225000000,3.31,0.29,30.18,29.96,-0.0073,30.14,29.7,0.0352,0.0933,0.0338,0.038,0.0146,300,7200,5364,-32.78,387410990,361295560,1.44E+16,1.212,9.05,0,14.77
0,25.1,0,25.09,25.1,6220942,157505210,300,-0.0016,-0.0004,-0.87,0.0308,83.51,5070200000,5070200000,1,3650850,2570092,1.42,-0.14,2.03,28000000,7.82,0.07,25.1,25.11,0.0004,25.88,24.66,0.0232,0.0129,0.1141,-0.0738,0.0486,400,200,10018,-11.06,202000000,202000000,1.21E+15,0.9976,3.21,0,52.26
0.0028,21.23,0.06,21.19,21.23,974335,20811828,400,0.0033,0,-0.61,0.0053,-89.18,6326905300,3931965000,0.6215,486838,487497,0.999,0,0.5,30252434,4.54,0.102,21.17,21.23,0.0028,21.6,21.06,-0.0454,0.0192,-0.097,0.2577,0.0255,2800,1100,3230,-1.75,298017210,185207960,3.55E+15,-0.2655,4.67,1,-4.89
0.0099,16.29,0.16,16.3,16.34,316900,5148169,400,-0.0018,0.0124,0.28,0.0046,-42.48,2123043100,1130755330,0.5326,156017,160883,0.97,-0.02,0.71,-10982898,8.93,-0.084,16.13,16.09,-0.0025,16.4,16.01,-0.0145,0.0489,0.0416,-0.1706,0.0242,300,4300,1127,-100,130328000,69414078,-1.18E+15,-1.852,1.82,5,4.05
0.0024,12.74,0.03,12.72,12.74,4380073,55390651,2100,0.0016,0.0079,0.74,0.0261,10.12,2977886500,2136912500,0.7176,2391777,1988296,1.2,-0.22,0.65,-9895578,3.23,-0.042,12.71,12.64,-0.0055,12.81,12.51,-0.0047,0.0626,0.088,-0.5043,0.0236,5200,5600,5343,-24.76,233743060,167732530,-1.23E+15,-1.434,3.95,2,58.65
0.0123,93.48,1.14,93.43,93.48,5364981,488638080,200,0.0104,0.0216,2.6,0.0318,-23.98,22031963000,15780697000,0.7163,2950453,2414528,1.22,-0.01,1.34,157653350,14.57,0.142,92.34,91.5,-0.0091,93.88,88.5,-0.0467,0.1471,0.3175,0.7811,0.0583,200,600,20111,-0.53,235686380,168813610,3.37E+15,0.9015,6.42,1,1.58
